record_type,timestamp_us,measurement_number,ch1_raw,ch1_dark,ch1_corrected,ch1_uv,ch1_filtered,ch1_filtered_uv,ch2_raw,ch2_dark,ch2_corrected,ch2_uv,ch2_filtered,ch2_filtered_uv,ratio,filtered_ratio,ratio_valid,filtered_ratio_valid,ch1_saturated,ch2_saturated
DATA,1504235,1,962262,911858,50404,12305.664,50404,12305.664,313635,297193,16442,4014.160,16442,4014.160,3.065564,3.065564,1,1,0,0
DATA,3044171,2,1011614,994121,17493,4270.752,33948,8288.086,313538,319199,-5661,-1382.080,5390,1315.918,-3.090090,6.298330,1,1,0,0
DATA,4584171,3,1022165,1015368,6797,1659.424,24898,6078.613,312594,319781,-7187,-1754.639,1198,292.480,-0.945735,20.782972,1,1,0,0
DATA,6124171,4,1027233,1020924,6309,1540.283,20250,4943.848,313350,317090,-3740,-913.086,-36,-8.789,-1.686898,-562.500000,1,1,0,0
DATA,7664171,5,1029784,1025422,4362,1064.941,17073,4168.213,329980,317011,12969,3166.260,2564,625.977,0.336341,6.658736,1,1,0,0
DATA,9204172,6,1028236,1021581,6655,1624.756,15336,3744.141,312111,336545,-24434,-5965.332,-1935,-472.412,-0.272366,-7.925581,1,1,0,0
DATA,10744172,7,1032162,1027520,4642,1133.301,13808,3371.094,311434,322543,-11109,-2712.158,-3245,-792.236,-0.417859,-4.255162,1,1,0,0
DATA,12284172,8,1035947,1030966,4981,1216.064,12705,3101.807,307589,317480,-9891,-2414.795,-4076,-995.117,-0.503589,-3.117026,1,1,0,0
DATA,13824183,9,1038941,1033058,5883,1436.279,7140,1743.164,304753,313949,-9196,-2245.117,-7281,-1777.588,-0.639735,-0.980635,1,1,0,0
DATA,15364171,10,1039616,1033735,5881,1435.791,5688,1388.672,302880,312322,-9442,-2305.176,-7753,-1892.822,-0.622855,-0.733651,1,1,0,0
DATA,16904175,11,1040468,1034975,5493,1341.064,5525,1348.877,302140,309739,-7599,-1855.225,-7805,-1905.518,-0.722858,-0.707880,1,1,0,0
DATA,18444171,12,1034605,1032946,1659,405.029,4944,1207.031,302621,309028,-6407,-1564.209,-8138,-1986.816,-0.258936,-0.607520,1,1,0,0
DATA,19984175,13,1037785,1031955,5830,1423.340,5128,1251.953,302645,312259,-9614,-2347.168,-10961,-2676.025,-0.606407,-0.467841,1,1,0,0
DATA,21524171,14,1033633,1031410,2223,542.725,4574,1116.699,307373,314469,-7096,-1732.422,-8794,-2146.973,-0.313275,-0.520127,1,1,0,0
DATA,23064175,15,1038299,1027073,11226,2740.723,5397,1317.627,299062,301293,-2231,-544.678,-7684,-1875.977,-5.031824,-0.702369,1,1,0,0
